2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [9/30] Sharpe=0.24 收益=8.47% 交易=312
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [10/30] Sharpe=-0.45 收益=-3.82% 交易=271
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [11/30] Sharpe=0.25 收益=10.36% 交易=382
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [12/30] Sharpe=2.91 收益=145.79% 交易=530
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [13/30] Sharpe=-0.35 收益=-4.46% 交易=444
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [14/30] Sharpe=-1.25 收益=-13.40% 交易=114
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [15/30] Sharpe=3.33 收益=37.99% 交易=594
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [16/30] Sharpe=-0.67 收益=-9.74% 交易=140
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [17/30] Sharpe=-0.18 收益=-4.76% 交易=236
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [18/30] Sharpe=1.52 收益=55.35% 交易=452
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [19/30] Sharpe=1.66 收益=84.91% 交易=393
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [20/30] Sharpe=2.98 收益=114.33% 交易=550
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [21/30] Sharpe=5.20 收益=224.18% 交易=689
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [22/30] Sharpe=-1.19 收益=-9.64% 交易=76
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [23/30] Sharpe=-0.72 收益=-9.55% 交易=303
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [24/30] Sharpe=2.66 收益=154.17% 交易=479
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [25/30] Sharpe=-0.09 收益=-0.56% 交易=251
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [26/30] Sharpe=1.40 收益=60.60% 交易=403
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [27/30] Sharpe=0.82 收益=9.08% 交易=578
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [28/30] Sharpe=0.49 收益=14.47% 交易=555
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [29/30] Sharpe=-0.45 收益=-10.74% 交易=174
2026-06-04 21:49:46,032 [INFO] scripts.optimize_target |   [30/30] Sharpe=-1.70 收益=-16.56% 交易=313
2026-06-04 21:49:46,174 [INFO] scripts.optimize_target | 总交易数: 11767 笔
2026-06-04 21:49:47,927 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (11767 笔交易)
